"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Jalgaon","Yawal",3030,1689,351,688,471,1901,31,2.64,7.80,35.37,12.66,17.23,3.42,14.98
"Dec","Maharashtra","Jalna","Ambad",2903,2281,402,731,470,1651,48,2.75,7.76,35.40,15.58,12.57,2.78,22.43
"Dec","Maharashtra","Jalna","Badnapur",2511,2078,207,444,461,1284,47,1.86,5.85,41.16,18.64,13.96,3.69,27.17
"Dec","Maharashtra","Jalna","Bhokardan",3104,3290,385,728,566,1893,45,2.18,6.31,36.13,18.59,10.84,2.49,17.31
"Dec","Maharashtra","Jalna","Ghansawangi",2630,1779,375,604,300,1109,45,2.46,6.43,28.87,11.65,8.35,1.78,19.15
"Dec","Maharashtra","Jalna","Jafrabad",1620,669,217,398,165,807,32,1.86,5.26,19.57,5.72,7.83,1.33,25.00
"Dec","Maharashtra","Jalna","Jalna",7314,5300,927,1930,1335,5178,71,3.10,9.57,42.08,17.68,20.11,4.12,20.46
"Dec","Maharashtra","Jalna","Mantha",1675,1353,229,553,284,1016,30,2.18,7.45,28.73,12.84,11.37,2.48,20.55
"Dec","Maharashtra","Jalna","Partur",1345,1064,214,300,177,759,23,2.56,6.15,28.72,12.68,8.88,1.68,16.79
"Dec","Maharashtra","Kolhapur","Ajra",469,165,9,58,43,209,5,0.21,1.57,14.88,3.87,5.32,0.91,8.62
"Dec","Maharashtra","Kolhapur","Bavda",480,271,39,121,92,368,16,1.96,8.06,37.80,13.64,21.32,4.26,47.06
"Dec","Maharashtra","Kolhapur","Bhudargad",1220,557,55,149,127,524,14,0.83,3.07,26.70,8.37,9.42,1.84,22.22
"Dec","Maharashtra","Kolhapur","Chandgad",1207,568,97,250,153,640,13,1.22,4.36,22.26,7.12,8.68,1.67,9.15
"Dec","Maharashtra","Kolhapur","Gadhinglaj",1515,637,32,177,132,613,7,0.35,2.27,23.40,6.93,7.63,1.35,5.74
"Dec","Maharashtra","Kolhapur","Hatkanangle",6084,2635,439,1550,877,4088,39,1.32,5.96,26.10,7.89,12.96,2.29,10.99
"Dec","Maharashtra","Kolhapur","Kagal",1726,599,83,387,220,1030,16,0.73,4.14,20.50,5.28,10.04,1.77,10.67
"Dec","Maharashtra","Kolhapur","Karvir",3223,990,81,515,307,1611,11,0.46,3.37,23.84,5.60,10.19,1.63,10.00
"Dec","Maharashtra","Kolhapur","Kolhapur",4682,2423,463,1179,659,2319,92,1.60,5.68,24.56,8.38,9.23,2.04,24.08
"Dec","Maharashtra","Kolhapur","Panhala",1343,426,29,232,180,701,30,0.22,2.00,13.57,3.27,6.08,1.24,14.49
"Dec","Maharashtra","Kolhapur","Radhanagari",1100,384,52,181,126,540,20,0.54,2.42,15.41,3.99,6.24,1.18,13.16
"Dec","Maharashtra","Kolhapur","Shahuwadi",1715,796,44,286,194,937,9,0.51,3.81,28.95,9.18,12.68,2.18,8.41
"Dec","Maharashtra","Kolhapur","Shirol",2347,805,119,433,289,1174,22,0.68,3.17,18.09,4.62,7.83,1.55,8.59
