"month_n","state_n","district_n","block_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Nov","Maharashtra","Thane","Ulhasnagar",107,599,295,571,572,459,52,474,17.86,49.25,8.68,79.13,95.49,95.33,76.63
"Nov","Maharashtra","Wardha","Arvi",85,521,239,480,492,398,99,367,16.31,45.87,19.00,70.44,94.43,92.13,76.39
"Nov","Maharashtra","Wardha","Ashti",93,360,187,346,349,281,97,329,25.83,51.94,26.94,91.39,96.94,96.11,78.06
"Nov","Maharashtra","Wardha","Deoli",84,515,223,488,495,378,26,346,16.31,43.30,5.05,67.18,96.12,94.76,73.40
"Nov","Maharashtra","Wardha","Hinganghat",138,667,294,619,624,463,71,551,20.69,44.08,10.64,82.61,93.55,92.80,69.42
"Nov","Maharashtra","Wardha","Karanja",76,452,211,429,435,341,62,361,16.81,46.68,13.72,79.87,96.24,94.91,75.44
"Nov","Maharashtra","Wardha","Samudrapur",80,613,301,562,564,422,46,456,13.05,49.10,7.50,74.39,92.01,91.68,68.84
"Nov","Maharashtra","Wardha","Seloo",107,640,305,612,615,485,12,462,16.72,47.66,1.88,72.19,96.09,95.63,75.78
"Nov","Maharashtra","Wardha","Wardha",383,2401,1023,2247,2250,1827,147,1799,15.95,42.61,6.12,74.93,93.71,93.59,76.09
"Nov","Maharashtra","Washim","Karanja",304,1841,797,1656,1681,1308,280,1344,16.51,43.29,15.21,73.00,91.31,89.95,71.05
"Nov","Maharashtra","Washim","Malegaon",152,1224,422,1049,1048,816,66,789,12.42,34.48,5.39,64.46,85.62,85.70,66.67
"Nov","Maharashtra","Washim","Mangrulpir",176,963,449,900,904,730,150,710,18.28,46.63,15.58,73.73,93.87,93.46,75.80
